id,name,lastname,price,flycode,typePassenger,statusFlight
178,Mellicent,Gallardo,50000.000000,MM0987B,ExecutiveClass,En vuelo
179,Lynea,Ortiz,20000.000000,MM0987B,ExecutiveClass,En vuelo
180,Nial,Garrido,15000.000000,MM0987B,ExecutiveClass,En vuelo
181,Guillaume,Salazar,37000.000000,MM0987B,ExecutiveClass,En vuelo
182,Loutitia,Guzmán,25000.000000,MM0987B,ExecutiveClass,En vuelo
183,Ruthe,Henríquez,30000.000000,MM0987B,ExecutiveClass,En vuelo
184,Eric,Saavedra,50000.000000,MM0987B,ExecutiveClass,En vuelo
185,Marcellus,Navarro,30000.000000,MM0987B,ExecutiveClass,En vuelo
186,Ian,Aguilera,42000.000000,MM0987B,ExecutiveClass,En vuelo
187,Sebastien,Parra,37000.000000,MM0987B,ExecutiveClass,En vuelo
188,Scarface,Romero,50000.000000,MM0987B,ExecutiveClass,En vuelo
189,Maible,Aravena,18000.000000,MM0987B,ExecutiveClass,En vuelo
190,Waldon,Vargas,30000.000000,MM0987B,ExecutiveClass,En vuelo
191,Bethina,Vázquez,15000.000000,MM0987B,ExecutiveClass,En vuelo
192,Farand,Cáceres,42000.000000,MM0987B,ExecutiveClass,En vuelo
193,Zolly,Yáñez,25000.000000,MM0987B,ExecutiveClass,En vuelo
194,Philipa,Leiva,42000.000000,TU6789B,FirstClass,En horario
195,Roderigo,Escobar,20000.000000,BA2491A,ExecutiveClass,En vuelo
196,Otho,Ruiz,20000.000000,BA2491A,ExecutiveClass,En vuelo
197,Alasteir,Valdés,20000.000000,BA2491A,ExecutiveClass,En vuelo
198,Eleonora,Vidal,42000.000000,BA2491A,EconomyClass,Aterrizado
199,Eliot,Salinas,12000.000000,BA2491A,EconomyClass,Aterrizado
200,Alana,Zúñiga,30000.000000,BA2491A,EconomyClass,Aterrizado
201,Odey,Peña,20000.000000,BA2491A,EconomyClass,Aterrizado
202,Yorke,Godoy,15000.000000,BA2491A,EconomyClass,Aterrizado
203,Cissiee,Lagos,18000.000000,BA2491A,EconomyClass,Aterrizado
204,Jillana,Maldonado,18000.000000,BA2491A,EconomyClass,Aterrizado
205,Mallorie,Bustos,30000.000000,TU6789B,FirstClass,En horario
206,Borden,Medina,12000.000000,TU6789B,FirstClass,En horario
207,Maddie,Pino,33000.000000,TU6789B,FirstClass,En horario
208,Weider,Palma,50000.000000,TU6789B,FirstClass,En horario
209,Asia,Moreno,37000.000000,TU6789B,FirstClass,En horario
210,Sayres,Sanhueza,10000.000000,TU6789B,FirstClass,En horario
211,Marcile,Carvajal,30000.000000,TU6789B,FirstClass,En horario
212,Thomasina,Navarrete,42000.000000,TU6789B,FirstClass,En horario
213,Darwin,Sáez,18000.000000,TU6789B,FirstClass,En horario
214,Nicolina,Alvarado,30000.000000,TU6789B,FirstClass,En horario
215,Nita,Donoso,12000.000000,TU6789B,FirstClass,En horario
216,Nikoletta,Poblete,12000.000000,TU6789B,FirstClass,En horario
217,Dwight,Bustamante,42000.000000,TU6789B,FirstClass,En horario
218,Romola,Toro,50000.000000,TU6789B,FirstClass,En horario
219,Kaile,Ortega,33000.000000,TU6789B,FirstClass,En horario
220,Mozes,Venegas,25000.000000,TU6789B,FirstClass,En horario
221,Aylmer,Guerrero,33000.000000,TU6789B,FirstClass,En horario
222,Marina,Mendoza,12000.000000,TU6789B,FirstClass,En horario
223,Enrico,Farías,50000.000000,TU6789B,FirstClass,En horario
224,Zonda,San Martín,33000.000000,TU6789B,FirstClass,En horario
225,Adriano,González,33000.000000,TU6789B,FirstClass,En horario
226,Trula,Fernández,30000.000000,TU6789B,FirstClass,En horario
227,Adel,Rodríguez,30000.000000,TU6789B,FirstClass,En horario
228,Jeniece,López,15000.000000,TU6789B,FirstClass,En horario
229,Tabina,Martínez,10000.000000,TU6789B,FirstClass,En horario
230,Liana,Sánchez,33000.000000,TU6789B,FirstClass,En horario
231,Marmaduke,Pérez,10000.000000,BA2491A,EconomyClass,Aterrizado
232,Alla,Gómez,30000.000000,BA2491A,EconomyClass,Aterrizado
233,Peter,Martín,12000.000000,BA2491A,EconomyClass,Aterrizado
234,Pietro,Jiménez,18000.000000,BA2491A,EconomyClass,Aterrizado
235,Hiram,Ruiz,20000.000000,BA2491A,EconomyClass,Aterrizado
236,Anastasia,Hernández,18000.000000,BA2491A,EconomyClass,Aterrizado
237,Cathleen,Díaz,10000.000000,TU6789B,FirstClass,En horario
238,Leeanne,Moreno,15000.000000,TU6789B,FirstClass,En horario
239,Chet,Álvarez,42000.000000,TU6789B,FirstClass,En horario
240,Billie,Muñoz,37000.000000,TU6789B,FirstClass,En horario
241,Alexandra,Romero,42000.000000,TU6789B,FirstClass,En horario
242,Broddie,Alonso,42000.000000,TU6789B,ExecutiveClass,En vuelo
243,Brigham,Gutiérrez,25000.000000,TU6789B,ExecutiveClass,En vuelo
244,Cal,Navarro,42000.000000,TU6789B,ExecutiveClass,En vuelo
245,Donal,Torres,18000.000000,TU6789B,ExecutiveClass,En vuelo
246,Adam,Domínguez,20000.000000,TU6789B,ExecutiveClass,En vuelo
247,Dotty,Vázquez,42000.000000,TU6789B,ExecutiveClass,En vuelo
248,Maynard,Ramos,18000.000000,TU6789B,ExecutiveClass,En vuelo
249,Jessee,González,30000.000000,TU6789B,ExecutiveClass,En vuelo
250,Tiphani,Muñoz,42000.000000,TU6789B,ExecutiveClass,En vuelo
251,Jenna,Rojas,30000.000000,TU6789B,ExecutiveClass,En vuelo
252,Karlotte,Díaz,20000.000000,BA2491A,EconomyClass,Aterrizado
253,Norene,Pérez,25000.000000,BA2491A,EconomyClass,Aterrizado
254,Morris,Soto,10000.000000,BA2491A,EconomyClass,Aterrizado
255,Yuri,Contreras,25000.000000,BA2491A,EconomyClass,Aterrizado
256,Gusty,Silva,10000.000000,BA2491A,EconomyClass,Aterrizado
257,Jori,Martínez,12000.000000,BA2491A,EconomyClass,Aterrizado
258,Sydelle,Sepúlveda,30000.000000,BA2491A,EconomyClass,Aterrizado
259,Merrile,Morales,50000.000000,BA2491A,EconomyClass,Aterrizado
260,Tadd,Rodríguez,50000.000000,TU6789B,ExecutiveClass,En vuelo
261,Josiah,López,10000.000000,TU6789B,ExecutiveClass,En vuelo
262,Melisa,Fuentes,12000.000000,TU6789B,ExecutiveClass,En vuelo
263,Orelee,Hernández,20000.000000,TU6789B,ExecutiveClass,En vuelo
264,Stephen,Torres,37000.000000,TU6789B,ExecutiveClass,En vuelo
265,Blair,Araya,50000.000000,TU6789B,ExecutiveClass,En vuelo
266,Arel,Flores,30000.000000,TU6789B,ExecutiveClass,En vuelo
267,Abbie,Espinoza,25000.000000,TU6789B,ExecutiveClass,En vuelo
268,Channa,Valenzuela,50000.000000,TU6789B,ExecutiveClass,En vuelo
269,Shirl,Castillo,20000.000000,TU6789B,ExecutiveClass,En vuelo
270,Edlin,Tapia,20000.000000,TU6789B,ExecutiveClass,En vuelo
271,Larina,Reyes,18000.000000,TU6789B,ExecutiveClass,En vuelo
272,Duncan,Gutiérrez,37000.000000,TU6789B,ExecutiveClass,En vuelo
273,Bond,Castro,10000.000000,TU6789B,ExecutiveClass,En vuelo
274,Dyann,Pizarro,50000.000000,TU6789B,ExecutiveClass,En vuelo
275,Charmian,Álvarez,15000.000000,TU6789B,ExecutiveClass,En vuelo
276,Dru,Vásquez,50000.000000,TU6789B,ExecutiveClass,En vuelo
277,Kiel,Sánchez,50000.000000,TU6789B,ExecutiveClass,En vuelo
278,Emory,Fernández,15000.000000,TU6789B,ExecutiveClass,En vuelo
279,Alberik,Ramírez,50000.000000,TU6789B,ExecutiveClass,En vuelo
280,Koenraad,Carrasco,20000.000000,TU6789B,ExecutiveClass,En vuelo
281,Rafaellle,Gómez,50000.000000,TU6789B,ExecutiveClass,En vuelo
282,Edie,Cortés,25000.000000,TU6789B,ExecutiveClass,En vuelo
283,Osbert,Herrera,15000.000000,TU6789B,ExecutiveClass,En vuelo
284,Sidonia,Núñez,10000.000000,TU6789B,ExecutiveClass,En vuelo
285,Bartel,Jara,37000.000000,TU6789B,ExecutiveClass,En vuelo
286,Jodi,Vergara,30000.000000,BA2491A,EconomyClass,Aterrizado
287,Ofelia,Rivera,30000.000000,BA2491A,EconomyClass,Aterrizado
288,Dudley,Figueroa,42000.000000,BA2491A,EconomyClass,Aterrizado
289,Dulcea,Riquelme,25000.000000,BA2491A,EconomyClass,Aterrizado
290,Gordon,García,25000.000000,BA2491A,EconomyClass,Aterrizado
291,Chalmers,Miranda,10000.000000,BA2491A,EconomyClass,Aterrizado
292,Christiano,Bravo,50000.000000,BA2491A,EconomyClass,Aterrizado
293,Russell,Vera,50000.000000,BA2491A,EconomyClass,Aterrizado
294,Cleo,Molina,50000.000000,BA2491A,EconomyClass,Aterrizado
295,Catriona,Vega,42000.000000,TU6789B,ExecutiveClass,En vuelo
296,Leigh,Campos,37000.000000,TU6789B,ExecutiveClass,En vuelo
297,Ddene,Sandoval,12000.000000,TU6789B,ExecutiveClass,En vuelo
298,Sayre,Orellana,18000.000000,TU6789B,EconomyClass,Aterrizado
299,Jody,Cárdenas,33000.000000,TU6789B,EconomyClass,Aterrizado
300,Zabrina,Olivares,12000.000000,TU6789B,EconomyClass,Aterrizado
1002,Maria Dolores,Touceda,35000.000000,35LKJ45,FirstClass,En horario
